Years,POP_TOTL,POP_014,POP_1564,POP_65,EMP_TOTL,LF_TOTL,LF_ADVN_EDU,LF_BASC_EDU,LF_INTM_EDU,UEM_TOTL,UEM_ADVN_EDU,UEM_INTM_EDU,EMP_SELF,EMP_SRV,EMP_IND,EMP_AGR,GDP_IND,GDP_AGR,GDP_PP_EMP,XPD_TOTL_EDU,INFL,FRTL,BR,DR,D_COM,D_INJ,D_NC
1991,888054875,335068163,518486703,34500009,322457613,335309031,,,,3.83200001716614,,,86.1750030517578,21.6000003814697,14.8140001296997,63.5859985351563,30.3290672057072,30.4796122277262,4785.4130859375,,13.87024609,3.959,30.915,10.585,,,
1992,906021106,339847574,530519741,35653791,330588722,343350282,,,,3.71700000762939,,,86.0400009155273,21.9120006561279,14.9700002670288,63.1180000305176,30.7694972458406,29.8014842535145,4923.64990234375,,11.78781925,3.877,30.346,10.311,,,
1993,924057817,344302685,542975424,36779708,338675554,351841793,,,,3.7409999370575,,,85.8560028076172,22.2490005493164,14.8959999084473,62.8549995422363,30.4446052288734,29.7406299853984,5034.3828125,,6.362038664,3.799,29.796,10.047,,,
1994,942204249,348305135,556006717,37892397,347763564,360942196,37.0699996948242,18.3400001525879,18.3500003814697,3.65199995040894,23.4099998474121,25.0799999237061,85.3150024414063,22.3969993591309,15.4250001907349,62.1780014038086,31.5283597940276,29.3206319026335,5229.30615234375,,10.21150033,3.723,29.269,9.797,,,
1995,960482795,351812243,569664412,39006140,354544513,368221327,,,,3.71600008010864,,,85.8130035400391,22.6049995422363,16.1469993591309,61.2480010986328,32.7182807442284,27.2302817378323,5517.8408203125,,10.22488756,3.651,28.767,9.566,,,
1996,978893217,355436705,582956716,40499796,360950150,375264721,,,,3.81399989128113,,,85.2770004272461,22.6630001068115,15.8979997634888,61.4389991760254,31.7594817698465,28.1336061255735,5829.01904296875,,8.977149075,3.582,28.288,9.356,,,
1997,997405318,358612537,596826819,41965962,367018404,382547455,,,,4.05999994277954,,,85.3109970092773,22.8430004119873,15.8739995956421,61.2840003967285,31.5344282276082,26.8471842620406,5964.88623046875,3.40681004524231,7.16425362,3.514,27.824,9.166,,,
1998,1015974042,361355075,611202313,43416654,374193286,390041620,,,,4.06400012969971,,,85.1699981689453,23.1720008850098,15.5609998703003,61.2669982910156,30.7353749005057,26.7475949916454,6212.31494140625,3.62086009979248,13.2308409,3.446,27.367,8.993,,,
1999,1034539214,363723543,625949542,44866129,381553256,397713183,,,,4.06300020217896,,,85.0289993286133,23.7819995880127,15.7849998474121,60.4329986572266,30.1181833877369,25.4110929204489,6631.35205078125,4.47509002685547,4.669821024,3.379,26.914,8.836,,,
2000,1053050912,365773765,640951008,46326139,388009195,405521019,32.4300003051758,19.5100002288818,14.9799995422363,4.31699991226196,21.1200008392334,20.6100006103516,84.8140029907227,24.0349998474121,16.3199996948242,59.6450004577637,31.0443113625191,23.8757571286483,6771.458984375,4.38325977325439,4.009433962,3.311,26.463,8.692,43.7,10.2,46.1
2001,1071477855,368339237,655096984,48041634,398967891,417003387,,,,4.32600021362305,,,88.2080001831055,23.8269996643066,15.91100025177,60.2620010375977,29.9502348974421,23.7725182456531,6903.2451171875,,3.684807256,3.243,26.012,8.56,,,
2002,1089807112,370455776,669605816,49745520,409857630,428862880,,,,4.43200016021729,,,88.2119979858398,24.2509994506836,16.5930004119873,59.1559982299805,31.2481485043577,21.4633679375256,6975.41796875,,4.392199745,3.175,25.561,8.435,,,
2003,1108027848,372221586,684389867,51416395,422043768,441049645,,,,4.30800008773804,,,87.8460006713867,24.4230003356934,16.9699993133545,58.6080017089844,31.0557320739518,21.5121249415764,7306.43603515625,3.66227006912231,3.805865922,3.107,25.108,8.316,,,
2004,1126135777,373755592,699358935,53021250,433679454,453489620,,,,4.36899995803833,,,87.1679992675781,24.7169990539551,18.3209991455078,56.9609985351563,33.3430174926379,19.7343113119983,7673.84423828125,3.39787006378174,3.76723848,3.038,24.648,8.199,,,
2005,1144118674,375114219,714450930,54553525,445661145,466155121,35.4099998474121,23.2199993133545,22.9200000762939,4.39599990844727,23.8199996948242,24.25,86.5189971923828,25.1979999542236,18.8040008544922,55.9980010986328,33.5920912497597,19.5082459469945,8160.796875,3.23186993598938,4.246353323,2.969,24.171,8.084,39.5,10.4,50
2006,1161977719,376811884,728846310,56319525,447379642,467165824,,,,4.23699998855591,,,85.6669998168945,25.511999130249,19.7959995269775,54.6910018920898,34.4376742127626,18.9665542888308,8882.623046875,3.18744993209839,6.145522388,2.897,23.664,7.967,,,
2007,1179681239,378289367,743374311,58017561,449116031,468125060,,,,4.05999994277954,,,84.7779998779297,25.7019996643066,20.6200008392334,53.6780014038086,34.6647162020145,18.9334159212442,9715.4072265625,,6.369996746,2.823,23.126,7.852,,,
2008,1197146906,379470915,758006442,59669549,449697278,469002609,,,,4.11600017547607,,,84.6439971923828,26.125,20.7159996032715,53.1590003967285,33.7759719009147,18.443975140253,10080.453125,,8.351816444,2.748,22.562,7.739,,,
2009,1214270132,380174492,772795808,61299832,452204952,469829385,,,,3.75099992752075,,,84.2160034179688,26.2950000762939,21.3269996643066,52.3779983520508,33.145257062952,18.3945066894515,10874.654296875,3.31123995780945,10.87739112,2.673,21.982,7.632,,,
2010,1230980691,380274337,787765404,62940950,453945418,470610752,29.6900005340576,20.6200008392334,15.4200000762939,3.53999996185303,16.7800006866455,19.8600006103516,83.3759994506836,26.6760005950928,21.8090000152588,51.5149993896484,32.423941622952,18.8806863366131,11944.2724609375,3.42347002029419,11.99229692,2.601,21.408,7.534,33.4,10.9,55.7
2011,1247236029,380287007,802018310,64930712,456968822,473683611,,,,3.52900004386902,,,80.9789962768555,27.746000289917,23.451000213623,48.8030014038086,32.5032816435802,18.5266723516929,12653.107421875,3.83972001075745,8.857845297,2.534,20.864,7.451,,,
2012,1263065852,379512707,816654594,66898551,459535976,476800625,30.8099994659424,18.0200004577637,14.6599998474121,3.62100005149841,16.6100006103516,13.9799995422363,80.7399978637695,28.6410007476807,24.3549995422363,47.0040016174316,31.7667201455287,18.2023530062969,13268.958984375,3.8675000667572,9.312445605,2.475,20.37,7.385,,,
2013,1278562207,378168020,831445906,68948281,469078361,485906723,,,,3.46399998664856,,,80.3489990234375,29.5450000762939,23.7940006256104,46.6599998474121,30.7905388488246,18.5886663740364,13829.193359375,3.84467005729675,10.90764331,2.425,19.938,7.339,,,
2014,1293859294,376631361,846013020,71214913,478059189,494963721,,,,3.41400003433228,,,80.0070037841797,30.5410003662109,23.9360008239746,45.523998260498,30.1802893534777,18.0194628981144,14587.58203125,,6.649500151,2.384,19.573,7.312,,,
2015,1309053980,375144882,860127604,73781494,486249129,503834632,,,,3.49000000953674,,,79.5609970092773,31.742000579834,23.8959999084473,44.3619995117188,29.6109843336734,17.462149812706,15490.7978515625,,4.906973441,2.352,19.269,7.303,28.1,11.1,60.8
2016,1324171354,373356040,873908707,76906607,494794795,512765199,,,,3.50500011444092,,,79.0810012817383,32.8349990844727,23.7199993133545,43.4440002441406,28.8450922101584,17.3525953389549,16305.2431640625,,4.941447235,2.326,19.013,7.31,,,